,cut_true_function,cut_false_function,cut_true_effect,cut_false_effect
1082,疏风利咽,,痰涎壅肺,四肢痿软
1083,健脾益肾,,热盛动风,胺腹冷痛
1084,燥湿解毒,,胃痛吐血,小儿腹泻
1085,解暑化湿,,痨伤盗汗,产后瘀血
1086,消积除胀,,疮毒疖肿,蝎子螫伤
1087,蚀肉疗疮,,虚劳羸弱,中风痰迷
1088,消坚破瘀,,盗汗久疟,肌肉挛急
1089,发汗解表,,湿热癃闭,乳汁不足
1090,活血行瘀,,跌打骨折,治痈肿
1091,清热泻下,,疮疡痔瘘,疝气偏坠
1092,催产下胎,,健忘失眠,女子宫冷
1093,破血调经,,风湿咳嗽,胃痛泛酸
1094,调经止血,,食滞胃痛,痈疖脓肿
1095,涩脾止痢,,寒热温疟,四肢顽痹
1096,散寒祛邪,,胸隔痞满,皮肤疡痒
1097,消痰散结,,虚咳久嗽,小便短涩
1098,活血止痒,,麻疹水肿,偏正头痛
1099,清暑解渴,,气逆奔豚,骨疽不愈
1100,化湿开胃,,神疲懒言,乳汁难下
1101,消痈散肿,,风湿头痛,羞明多泪
1102,养血除风,,闪挫扭伤,睾丸脓肿
1103,健脾安胎,,痧症发热,溃疡不敛
1104,清胃止痛,,痃癖症瘕,大肠下血
1105,镇痛止泻,,中暑发痧,皮肤出血
1106,止咳散结,,体弱血虚,肝阴不足
1107,清热祛痰,,水肿胀痛,头面热毒
1108,补气平喘,,健脾暖胃,肌肉坏死
1109,养血消瘀,,扑损瘀血,带状疱疹
1110,通经利尿,,气滞食积,痰火内扰
1111,化痰散积,,气郁胃痛,疮疡不敛
1112,止血消炎,,感冒寒热,劳伤盘骨
1113,接骨续筋,,肢倦无力,大便热秘
1114,活血破痰,,倦怠乏力,关节肿胀
1115,和中结湿,,寒湿骨痛,淋巴结核
1116,理气和中,,虚劳嗽血,水化不良
1117,温中和胃,,瘀阻肿痛,口鼻出血
1118,杀虫灭鼠,,暑热烦闷,脾胃湿浊
1119,补益强壮,,痰涎壅盛,咳嗽痰少
1120,止血化痰,,腹胀水肿,小儿癎病
1121,利湿止痛,,疔痈疖肿,热证皆可
1122,消食理气,,湿毒疮疹,关风眩晕
1123,止血敛伤,,发热品干,妇人红崩
1124,舒筋接骨,,跌打劳伤,肩周疼痛
1125,化痰平喘,,瘀血腹痛,夏月伤暑
1126,通便泻下,,疥癣湿疮,胃脘冷痛
1127,祛湿利水,,头昏目弦,精神疾病
1128,凉血消痈,,疥癞疮癣,扁桃体癌
1129,疏表清热,,症瘕结块,步履无力
1130,调中理气,,崩中带下,腋下狐臭
1131,清热驱风,,血虚黄肿,经脉拘挛
1132,和脾利水,,湿热发黄,瘙痒难忍
1133,镇静利尿,,痈疮肿毒,痰核瘿瘤
1134,发汗透疹,,肾虚腰酸,肢气肿痛
1135,下痰止嗽,,臁疮湿疹,急性热病
1136,补肾安胎,,湿浊内阻,涩滞不通
1137,散淤止痛,,赤白痢疾,肺卫不宣
1138,清热祛湿,,阴伤津亏,胸腹胁痛
1139,涤痰除垢,,痈肿恶疮,角膜白斑
1140,镇惊定癎,,呕吐腹痛,眼生白膜
1141,接骨散瘀,,瘀肿疼痛,关节痛风
1142,消积化滞,,疔肿痈毒,胃级不足
1143,和中益肾,,痰食虫积,头面风肿
1144,潜阳纳气,,热毒疮疡,陷疹瘙痒
1145,理气止痛,,瘿瘤痰核,蛇犬蛟伤
1146,理肺止咳,,食少干呕,冻疮溃破
1147,聪耳益智,,风痰喉痹,急性肺炎
1148,壮阳补肾,,寒凝气滞,男子下疳
1149,养阴除热,,痰结食积,胸胁痞痛
1150,熄风止惊,,烦躁胸闷,肝肾两虚
1151,开窍通络,,神昏谵语,腹中痞块
1152,解毒收敛,,湿热疹痒,不欲饮食
1153,下气平喘,,烧伤烫伤,目暗不明
1154,行气止痛,,头痛眩晕,烫火烧伤
1155,祛邪截疟,,痰多气逆,瘀血肿痛
1156,托毒排脓,,疮疡肿疖,肾阳虚衰
1157,散结消积,,气滞风壅,伤处瘀肿
1158,补脾去湿,,腰酸背痛,痧气作痛
1159,麻醉止痛,,痔疮便血,小便疼痛
1160,通淋利水,,血虚头晕,尿路结石
1161,安胎止痛,,肾炎血尿,骨节酸痛
1162,清热除湿,,风虫牙痛,体质虚弱
1163,拔毒生肌,,黄疸肝炎,积滞下消
1164,生肌愈疮,,口燥口苦,麻疹难透
1165,顺气宽中,,肺热燥咳,血热出血
1166,杀疥疗癣,,热泻热痢,筋骨痹痛
1167,润肤去斑,,里急腹痛,咳痰寒证
1168,通经活络,,汗出脉微,腹部肿块
1169,化湿行气,,痈肿湿疮,焮红肿大
1170,清血解毒,,久咳虚喘,面部褐斑
1171,补肾束带,,泪多眵多,两足软弱
1172,止咳定喘,,夏伤暑湿,小儿寒证
1173,补血益气,,骨蒸烦热,活动受限
1174,温中止呕,,痛疮疔肿,实症腹水
1175,平肝降压,,虚损劳伤,五心烦热
1176,退热止痛,,症瘕积块,小便滞涩
1177,清心醒脑,,虚损赢弱,小儿惊啼
1178,驱蛔杀虫,,损伤出血,脓成不溃
1179,清热养阴,,痈疽疮毒,白秃头疮
1180,补脾养胃,,瘀积肿痛,胸肋胀痛
1181,生肌利湿,,胃热烦渴,肌腱挛缩
1182,清热生津,,走马牙疳,小儿惊厥
1183,消肿止漏,,高热头痛,泄泻诸证
1184,消肿利尿,,麻疹内陷,便下脓血
1185,益气愈疮,,疥癣疮肿,妇女干痨
1186,养血止血,,高热发狂,胃寒胀痛
1187,镇痛消痈,,水肿脚气,手臂不仁
1188,凉血清热,,跌打焮肿,肌肤麻木
1189,清热退烧,,阳痿滑精,皮肤糜烂
1190,化瘀消肿,,梅毒恶疮,妊娠下血
1191,收涩止泄,,骨折筋断,亡阳欲脱
1192,解表清热,,脾虚水肿,蛇咬伤
1193,健脾益胃,,目赤头痛,胸膈痞塞
1194,宣肺止咳,,胃痛腹胀,阴血亏虚
1195,清肝利湿,,积滞内停,白秃风屑
1196,养颜泽发,,风疹篷痒,兼有发热
1197,补精固气,,嗳气吞酸,治水肿
1198,清热熄风,,痰火喘嗽,精神不振
1199,温肾止遗,,遗精腰酸,肠胃胀气
1200,行气调经,,目暗生翳,普中带血
1201,止血敛疮,,湿疮疥瘌,虚弱萎症
1202,利尿祛湿,,目赤红肿,正气衰弱
1203,补肾强身,,流感发热,脘胁冷痛
1204,消食健胃,,寒湿痢疾,头目昏花
1205,解毒凉血,,热毒痢疾,胃肠寒痛
1206,清热化湿,,烦闷消渴,下肢溃烂
1207,祛湿退黄,,虚火上炎,腹部痞块
1208,收涩固脱,,胃痛腹泻,小儿热疮
1209,解毒清热,,风毒疮痒,产后少乳
1210,补脾益血,,大风疬疾,胃脘不舒
1211,消肿止痈,,抽搐痉挛,时行热毒
1212,养心止血,,脾虚久泻,无名肿毒
1213,接骨生肌,,风弦烂眼,急性肝炎
1214,行瘀止痛,,筋断骨折,寒热往来
1215,清热消炎,,湿胜久泻,疥癫瘙痒
1216,清热透疹,,阳痿气乏,排尿涩痛
1217,清暑止渴,,湿疹瘙痒,疼痛甚剧
1218,凉血调经,,咳喘痰盛,疮疡溃破
1219,清热止泻,,湿热黄疽,心腹疼痛
1220,平肝疏肝,,实火便闭,食物中毒
1221,消肿止痒,,热病口干,脘腹疼痈
1222,消肿散热,,肢软乏力,外感风热
1223,舒肝解郁,,虚弱劳损,癥瘕积聚
1224,祛瘀活血,,胸膈烦热,肢节痿痹
1225,通经束带,,胸满痞闷,气血瘀滞
1226,补肾涩精,,阴虚久咳,皮肤皲皱
1227,解毒散肿,,失眠心悸,大风疾证
1228,利尿通便,,目赤青盲,脖腹冷痛
1229,拔脓消肿,,热毒疮疥,酒毒伤脾
1230,利湿活络,,暑热吐泻,皮肤湿疮
1231,消炎止血,,血热便血,出血不止
1232,凉血散结,,痞胀腹痛,关节冷痛
1233,和胃止渴,,舌干少津,肝火目赤
1234,养血润肤,,咳嗽咯血,眼睑裂伤
1235,调理脾胃,,内蒸痨热,行经腹痛
1236,重镇安神,,肺痨赢瘦,产后腰痛
1237,祛风寒,,食积胃痛,术后疼痛
1238,祛痰止咳,,寒热头痛,筋脉痿弱
1239,蚀疮去腐,,风癞癣疾,历节痹痛
1240,利尿通淋,,风疹湿疮,死胎不下
1241,养阴清肠,,乳痈肿痛,肝火上炎
1242,补肺生肌,,烦躁口渴,暑湿内蕴
1243,润肤杀虫,,血虚感冒,痰多而黄
1244,和中健脾,,带下目昏,胁下胀痛
1245,养阴补虚,,热涩淋痛,皮肤湿烂
1246,滋肾养阴,,中虚脘痛,萎弱无力
1247,散热消肿,,肺痨低热,疮疹瘙痒
1248,收涩止血,,口苦潮热,全身浮肿
1249,宁神降压,,烦热惊悸,咳痰带血
1250,滋补催乳,,寒湿水臌,食欲不振
1251,攻毒杀虫,,恶毒风疮,虚肿不消
1252,养血生肌,,高热下泻,产后抽风
1253,敛汗涩精,,疮疖溃疡,咳嗽吐血
1254,理气镇痛,,寒瘀经闭,肝胆之热
1255,温肺化痰,,崩带淋浊,胃脘胀闷
1256,通经活血,,头痛脘痞,小儿疳疾
1257,破血散瘀,,湿痹拘挛,产后腹痛
1258,益气举陷,,痈疮红肿,乳闭不通
1259,活血理气,,疔疖痈肿,目生星翳
1260,清热止痉,,血虚心悸,项下气瘿
1261,消肿止血,,疔肿疮毒,疼痛挛急
1262,疏风散热,,腹痛转筋,风疹瘙痒
1263,止呕安胎,,阃疬结核,二便不通
1264,生津润燥,,历节风痈,风热袭表
1265,逐水退肿,,疖疮肿毒,生漆过敏
1266,镇静熄风,,体虚赢瘦,四肢肿痛
1267,祛瘀调经,,热毒便血,妇人无乳
1268,清热澡湿,,苔腻胸闷,胃寒作痛
1269,行气活血,,食滞脘痞,下肢痿软
1270,托疮生肌,,疝气坠痛,气血不行
1271,杀虫消肿,,虚劳体弱,小便黄少
1272,行气消痰,,胞腹胀闷,痔漏出血
1273,疏风透表,,风热目痛,虫兽咬伤
1274,解毒透疹,,惊悸心烦,妇妇崩漏
1275,润肺除燥,,骨折红肿,疖痈肿毒
1276,息风止痒,,短气自汗,症瘕肿块
1277,温肺散寒,,痈肿疖疮,食魨中毒
1278,清热安神,,食积气滞,胃火上炎
1279,止血消肿,,肾炎水肿,胸胁胀满
1280,解毒润肠,,温病发斑,小儿疳积
1281,敛肺止咳,,食积便秘,脾胃虚弱
1282,温寒止泄,,久痢久泻,外科麻醉
1283,止痛止泻,,暑热高烧,脚膝痿弱
1284,化痞消症,,食少痞胀,午后微热
1285,利湿退黄,,发热咳嗽,目涩昏花
1286,镇肝熄风,,发热烦渴,疥癣风痒
1287,解暑利尿,,虚肿水肿,妊娠恶阴
1288,平补肝肾,,食减纳呆,脘腹虫痛
1289,止血定痛,,津伤口干,膀胱结石
1290,驳骨消肿,,食积饮胀,痔漏下血
1291,益阴清热,,热病惊劂,头风遗尿
1292,固涩止泻,,咳嗽胸痛,胸腹疼痛
1293,行气利湿,,粘滞不爽,胃中湿热
1294,收敛止痒,,热淋石淋,小儿热惊
1295,消食醒神,,肾虚阴痿,恶露不止
1296,滋肾填精,,疖肿疮毒,伏热咽痛
1297,燥湿疗疮,,虚痨咳嗽,腰膝痿弱
1298,益肾助阳,,内热口渴,食欲饱胀
1299,益肾缩溺,,泄泻浮肿,膈症胸满
1300,催产助生,,苔腻脉滑,风寒外袭
1301,活血化瘀,,疗疮肿痛,疔疮肿痛
1302,去瘀止血,,玉茎涩痛,两乳胀疼
1303,凉肝熄风,,崩漏下血,痰黄而稠
1304,润肌养肤,,畏寒神疲,肺气失宣
1305,润肺止咳,,水肿膨胀,寒热痿痹
1306,补虚益肾,,暑湿霍乱,眼生云翳
1307,补肺养阴,,晦暗紫黑,各种疼痛
1308,截疟杀虫,,呕吐痰涎,中暑自汗
1309,止痒退疹,,疱疹疮疖,尿道涩痛
1310,除湿消积,,体弱遗精,痈疮肿痛
1311,固脾止泻,,目涩昏暗,心胃气痛
1312,收敛止痛,,胎漏下血,外感高热
1313,消肿敛疮,,风毒痈肿,目珠疼痛
1314,活血消肿,,呕吐腹泻,疮痈焮红
1315,燥湿止痒,,虚热烦渴,角膜充血
1316,益气止血,,湿热便血,男子阳萎
1317,解毒消积,,胃热伤津,声哑不谙
1318,滋阴清肺,,红肿热病,经络不舒
1319,镇惊息风,,痈疽疔毒,关节挛缩
1320,除垢止痛,,倒睫目翳,食积本品
1321,消痈散结,,血瘀崩漏,色红瘙痒
1322,益卫固表,,气损阴伤,疮毒肿痛
1323,散瘀生肌,,感冒高烧,眼弦赤烂
1324,消肿排脓,,热痹疼痛,头身恶痛
1325,补肝益肾,,惊痫闭证,脓出不畅
1326,敛伤止血,,痰迷心窍,虫咬高热
1327,补虚安神,,疥疮顽癣,金刃创伤
1328,利尿杀虫,,瘙痒流水,火毒炽盛
1329,润肺通便,,目赤涩痒,脘膈膨胀
1330,清肝明目,,气虚下陷,艋骨痿软
1331,行气破血,,头痛头风,心腹刺痛
1332,散瘀解热,,虚劳喘咳,小儿泄泻
1333,入肝补血,,痈疖疔肿,胸脘痞满
1334,健脾补肾,,湿疮湿疹,疮疖化腔
1335,调经利尿,,血枯阳痿,气虚失运
1336,益清明目,,疮疡湿烂,麻风结节
1337,祛湿强筋,,嗳气呕恶,手足痿软
1338,疗伤止痛,,头昏眩晕,久痢脱肛
1339,熄风止痉,,疗疮痈肿,疮疖化脓
1340,破血祛瘀,,痈疡温肿,肢体拘挛
1341,散风止痒,,阴虚心烦,痰多之证
1342,化痰止咳,,痧症腹痛,颈项强直
1343,活血祛淤,,湿毒臁疮,大便出血
1344,解毒止痉,,脚气疼痛,咽喉肿毒
1345,厚肠止泻,,咽燥痰结,郁闭肺卫
1346,活血接骨,,虚赢乏力,痈疽溃脓
1347,健胃利湿,,劳伤乏力,鼻血不止
1348,养阴补肾,,血枯经闭,清利肝胆
1349,敛血止泻,,心烦易怒,疔疮肿毒
1350,宁心安神,,鼠瘘疮毒,皮脸瘙痒
1351,止血调经,,少气懒言,妇人崩漏
1352,消痰化瘀,,红崩带下,口舌生疮
1353,明目止痛,,吐血衄血,疥癣奇痒
1354,降气平喘,,寒气奔豚,急性肠火
1355,破瘀止痛,,伤寒高热,尿路感染
1356,疏肝理气,,阴疽肿毒,阴茎生疮
1357,泻热消肿,,身热口干,腹胀便秘
1358,清肺止咳,,湿热腹痛,外感暑湿
1359,行气导滞,,中风湿痹,久溃不收
1360,祛瘀活络,,高热惊风,中气下陷
1361,去瘀生新,,口干呕哕,午后骨蒸
1362,催产止血,,肺痛咳血,汤火灼伤
1363,利咽止痛,,浸淫湿疮,小儿高热
1364,疏肝清热,,胸满腹痛,产后虚烦
1365,和胃舒筋,,痔疮痿管,疮肠肿毒
1366,益胃生津,,痢疾牙痛,下肢浮肿
1367,生肌止血,,伤暑感冒,瘰疬未溃
1368,祛除风湿,,肢麻瘫痪,带下赤白
1369,解郁调经,,温病发热,产后无乳
1370,益精温肾,,疮癣疥癞,乳痈初起
1371,健胃止痛,,劳伤虚损,肠胃寒痛
1372,止痛止痒,,虚劳出血,小便余沥
1373,健胃调中,,痰热惊搐,食积于胃
1374,祛热解毒,,风湿久痹,口噤不语
1375,温肾固缩,,阴虚痨热,关节拘挛
1376,祛风解表,,水肿蛊胀,肠热出血
1377,健脾行水,,心烦尿赤,疔疮初起
1378,补肾益肝,,暑湿腹泻,乳房肿块
1379,散瘀疗伤,,瘘管窦道,肝气郁滞
1380,固表止汗,,虚寒带下,久泻不止
1381,疏风发表,,发热咽痛,皮肤癣疾
1382,祛湿止痛,,食滞中焦,热性腹泻
1383,消瘀散肿,,心烦神昏,胸闷不饥
1384,健脾利尿,,寒疝疼痛,肝气不舒
1385,涩肠固脱,,虎劳久嗽,蛇虫啼伤
1386,祛风利尿,,疮疖疔肿,痈疽疼痛
1387,益气补虚,,痹痛麻木,肛门肿痛
1388,理气和血,,经闭痛经,眼睛发黄
1389,﻿清热利湿,,肺燥久咳,肿胀不消
1390,止痛生肌,,筋伤疼痛,食少不运
1391,祛风解热,,腹痛疝气,湿热痹证
1392,凉血化瘀,,咳嗽吐痰,夏季感冒
1393,行气开胃,,脾虚白带,疝气疼痛
1394,平肝散结,,虚火牙痛,妇女倒经
1395,豁痰镇咳,,肾虚阳萎,咳嗽虚喘
1396,理气和胃,,伤食吐泻,冷性脓肿
1397,安神补气,,清热发乳,痹证日久
1398,补血调经,,咽燥口渴,胸脘刺痛
1399,透疹通淋,,咳嗽哮喘,腰膝寒痛
1400,祛风通络,,鼻衄咳血,胸腹气痛
1401,平喘疗疮,,风湿劳伤,肺炎咳嗽
1402,补气升阳,,疥癣癞疮,齿龈出血
1403,和中下气,,头痛目赤,足膝痿弱
1404,败毒消痈,,失眠健忘,中风不语
1405,发散解表,,瘰疬瘿瘤,腰膝酸楚
1406,明目镇惊,,腹泻下痢,外伤瘀血
1407,除湿止痢,,肝炎腹胀,膀胱结热
1408,养血和营,,风热咽疼,疔毒走黄
1409,散瘀止痛,,恶疮痈肿,脚生皲裂
1410,润燥滑肠,,疮疖脓肿,肌肤不仁
1411,和血止血,,瘟疫内热,疮毒内陷
1412,利水止汗,,暑邪痧气,齿龈红肿
1413,利湿行水,,湿热火毒,小儿五迟
1414,散毒生肌,,恶毒癞疮,产后血晕
1415,清热止痒,,寒痰哮喘,小便淋沥
1416,疗疮止痛,,骨折损伤,眼目昏糊
1417,益肾补肺,,食滞腹满,寒积腹痛
1418,滋阴潜阳,,阴虚津亏,邪热伤肺
1419,凉肝息风,,风热外感,老年干咳
1420,敛阴止汗,,疮疡痈疽,闪挫腰痛
1421,祛瘀散结,,胃虚呕吐,疮疡不愈
1422,温中止血,,痨伤咳血,中暑热狂
1423,养血祛风,,湿疮流水,肝气犯胃
1424,泄肺行水,,肺热咳血,脘腹绞痛
1425,祛风解痉,,肺热喘急,风湿肢气
1426,化湿和胃,,热病发斑,赘瘤息肉
1427,化痰宽胸,,风湿水肿,低热不退
1428,解毒止痛,,耳鸣耳聋,手足麻痹
1429,镇静退热,,肺劳咳血,肾囊出汗
1430,温中醒脾,,胸闷白带,产后出血
1431,行血解毒,,食少纳呆,肢体无力
1432,益肾涩尿,,胀满泄泻,气血不足
1433,镇静健脾,,肺病热咳,偏正关痛
1434,活血祛痰,,肺热痰咳,大便冷秘
1435,催产助产,,胸膈结热,老年便秘
1436,补肾强筋,,积滞腹胀,气郁不舒
1437,消食止泻,,流泪多眵,脾肺气虚
1438,散寒止疼,,水肿浮气,皮肤干裂
1439,祛风舒筋,,风热瘙痒,咳嗽咯痰
1440,润肺生津,,目赤云翳,心中烦热
1441,舒经活络,,气滞经闭,风水浮肿
1442,利水退肿,,遗精滑精,小儿瘫痪
1443,养血通乳,,肠炎腹泻,妊娠尿血
1444,祛风通窃,,喘咳痰多,壅于肌表
1445,疏风散寒,,痛疽溃疡,小儿急惊
1446,续伤止血,,痈疽丹毒,久痢不止
1447,凉血补血,,痈疽疮疡,副睾结核
1448,健脾消积,,疥疮癣癞,盘骨软弱
1449,壮腰补肾,,肺痈胸痛,肺气虚弱
1450,益肝健脾,,消瘦乏力,肺胃阴伤
1451,﻿祛风热,,淋沥癃闭,腰膝肿痛
1452,化瘀利尿,,跌打伤疼,降胃气
1453,止血收敛,,胸痹疼痛,出血较多
1454,强筋健骨,,肺热咳痰,面色萎黄
1455,补脾益肾,,产后风痉,中风昏倒
1456,宣肺解表,,头晕头痛,大腹水肿
1457,健脾导滞,,多泪多眵,小肠气痛
1458,接骨续伤,,肠鸣腹泻,昏暗不明
1459,清肠止痢,,疮肿痈疖,痈疮衩起
1460,降气化痰,,肾盂肾炎,胁腹症积
1461,祛风活络,,虚劳嬴瘦,热病发狂
1462,开胃生津,,热病斑疹,止生翳膜
1463,逐瘀破血,,中焦气滞,肢体痿弱
1464,清胃泻火,,头痛头晕,痛肿疔毒
1465,驱风解表,,风热咳喘,痰火咳嗽
1466,止痛消肿,,惊痫抽搐,两胁不舒
1467,清痰健胃,,肺痨久咳,眼红痒痛
1468,泻肺平喘,,疮毒痈肿,牙龈肿痛
1469,温寒止痛,,肠鸣泄泻,咽喉肿烂
1470,生津止渴,,气滞腹痛,手指麻木
1471,散风热,,神昏痉厥,跌扑肿痛
1472,解表利水,,遗精早泄,心腹冷痛
1473,开痰下气,,头眩目眩,腹痛隐隐
1474,和胃安胎,,腰痛膝软,创伤感染
1475,燥湿祛寒,,胸闷咳喘,小儿消渴
1476,消食和中,,恶肿疮瘘,药物中毒
1477,祛痰利咽,,湿烂痒痛,虚热不退
1478,凉血止血,,气滞便秘,障翳胬肉
1479,滋阴强壮,,痈疽疖肿,女子崩漏
1480,解毒疗疳,,中风口歪,小儿发热
1481,活血经瘀,,肺虚久咳,肠风泄泻
1482,清热止痢,,风湿脚痛,食积不化
1483,通经破血,,气虚自汗,周身疼痛
1484,利水涩精,,骨碎筋断,妇女血亏
1485,补肾壮阳,,痞满胀痛,膀胱气痛
1486,温中止泻,,结气咳逆,肝胆实热
1487,固崩止漏,,惊厥抽搐,腰腿无力
1488,涩肠止痢,,感冒高热,肚腹胀满
1489,补肾调经,,肺热痰郁,腰脊酸软
1490,补气血,,肢体偏枯,咳嗽喘息
1491,平肝镇惊,,水湿胀满,伤口发炎
1492,续筋骨,,虚劳咳喘,小腿转筋
1493,疏风凉血,,疮毒疥癣,气阴两伤
1494,解毒疔疮,,劳瘵咳嗽,汤火烫伤
1495,杀虫补血,,肝虚眩晕,风湿痹病
1496,养心定惊,,食滞饱胀,可疗经闭
1497,补脾缓肝,,喉炎喉痛,风瘙瘾疹
1498,理气解郁,,发热恶寒,腰脚酸痛
1499,杀虫疗伤,,虚损腰酸,妇女阴痒
1500,固精缩尿,,尿赤尿闭,发为丹毒
1501,清肺和胃,,赤痢便血,风炎牙痛
1502,健脾补肺,,暑热心烦,叹息不舒
1503,补肾健脾,,跌扑损伤,小便不得
1504,清暑解热,,中暑发热,冻疮破溃
1505,消炎收敛,,痰咳气喘,目昏不明
1506,凉血止痛,,目眦赤烂,肢体麻本
1507,补脾利湿,,感冒暑湿,神经障碍
1508,消结散瘿,,梦遗滑精,大便溏薄
1509,镇肝潜阳,,阴证疮疡,泄泻脓血
1510,利湿通络,,胞满胁痛,水湿停聚
1511,活血止血,,形瘦乏力,齿槽脓肿
1512,托毒消肿,,肾虚阳毒,眼部炎症
1513,滋阴止渴,,疖毒疔疮,肝经有热
1514,温经止痛,,伤风咳嗽,行经不畅
1515,理气化湿,,疟疾寒热,心律失常
1516,润肺清心,,脾虚冷痢,胃热疼痛
1517,补虚活血,,气虚头昏,小便深黄
1518,补肺止咳,,胸痛胀闷,筋骨麻木
1519,清火散结,,食积腹疼,肉食中毒
1520,活血散瘀,,盗汗自汗,虚人便秘
1521,温中止痢,,经闭腹痛,水儿惊风
1522,燥湿止带,,肢冷畏寒,虚赢不足
1523,疏风解毒,,头痛齿痛,表气不透
1524,行水利尿,,口渴心烦,眼目障翳
1525,醒脾解酒,,痔疮痈肿,翼状胬肉
1526,除烦解渴,,虚劳咳血,腰脊疼痛
1527,散热解毒,,冷积腹痛,咳声无力
1528,温中补脾,,腰酸腿痛,醒脾气
1529,解表散寒,,劳伤腰痛,脚气肿痛
1530,发汗清暑,,疟疾发热,小儿疽积
1531,清热降火,,中暑发烧,腰胁气胀
1532,活血调经,,肠风痔漏,肝血不足
1533,散血消瘀,,麻风溃疡,湿癣瘙痒
1534,壮腰健肾,,胸闷胸痛,肺痈咳血
1535,利湿通淋,,耳鸣目暗,筋骨骨折
1536,祛暑解表,,无汗身重,脾积痞块
1537,敛阴平肝,,内伤胸胀,食积不消
1538,补阳益阴,,咳嗽咽痛,口腔糜烂
1539,祛痰开窍,,目赤淋浊,疮疡初起
1540,解毒止咳,,肺热喘闷,新久咳嗽
1541,回阳救逆,,跌打伤折,小儿疮癣
1542,健脾祛湿,,痰喘咳嗽,宿滞不消
1543,制酸止痛,,肾虚遗泄,溃破日久
1544,利湿化痰,,燥咳声哑,脘胁胀痛
1545,利湿止带,,拘挛疼痛,疼痛不溃
1546,止痛截疟,,腰酸尿频,烦燥不眠
1547,祛痰平喘,,咳喘气急,乳汁不多
1548,散寒行气,,惊痫痰迷,身面浮肿
1549,敛肺涩肠,,恶疮疥癣,妇人闭经
1550,壮腰止痛,,温病烦渴,腰膝酸疼
1551,杀虫驱蛔,,口燥咽干,脾气虚寒
1552,祛风止痒,,风湿顽痹,脓水淋漓
1553,温中健胃,,血瘀痛经,皮肤疮痈
1554,润肝止咳,,痰壅气逆,气血两亏
1555,暖宫调经,,中风偏瘫,皮肤搔痒
1556,利尿排石,,痈疖肿毒,寒性脓疡
1557,益肾补虚,,里急后重,各种水肿
1558,活血定痛,,眩晕心烦,齿舌出血
1559,发表透疹,,痨伤疼痛,蜂蝎螫伤
1560,接骨拔脓,,脾虚赢瘦,眼目肿痛
1561,舒筋镇痛,,瘰疬症瘕,脘腹不舒
1562,利湿止泻,,痃癖腹痛,小儿盐哮
1563,利尿降压,,跌损呕血,皮肤皲裂
1564,补肺益气,,麻疹热毒,疗痹寒湿
1565,祛寒除湿,,痰饮眩晕,急性胃炎
1566,消食截疟,,跌扑骨折,热痢初期
1567,养血安神,,内热消渴,动即喘促
1568,除风散寒,,阴虚发热,两胁作痛
1569,清热散结,,噎膈反胃,乳汗不通
1570,凉血止咳,,眩晕止赤,痰咳不止
1571,祛寒通经,,疮痈疖肿,遗精带浊
1572,清肺定喘,,风毒疥癞,止赤肿痛
1573,和胃疏肝,,目翳多泪,表虚感冒
1574,止咳除烦,,疖痈疮疡,食欲一振
1575,祛湿敛疮,,瘰疬痰核,膈中气逆
1576,活血通经,,气逆喘满,筋胃疼痛
1577,解表发汗,,疮痒肿毒,筋骨痹弱
1578,生肌长骨,,喘息烦满,筋骨折伤
1579,消食和胃,,衄血尿血,白带漏下
1580,健脾止痢,,带下刀伤,咽喉疼痛
1581,解表透疹,,疮疡热毒,产后口渴
1582,缓急解毒,,胸隔满闷,红斑狼疮
1583,活血化积,,肿胀焮红,膀胱热壅
1584,通经调经,,湿疮流汁,肺结核病
1585,避秽驱虫,,斑疹伤寒,劳伤虚弱
1586,镇痛麻醉,,中恶昏迷,产后感染
1587,祛风通闭,,胁痛口苦,动则气短
1588,消肿解毒,,风痰眩晕,脏腑枯涩
1589,温寒调经,,阳虚遗精,胸腹闷胀
1590,祛瘀通络,,血虚劳倦,脾虚诸症
1591,养胃生津,,劳伤咳血,小儿疳痢
1592,通络除湿,,阴肿阴痒,无论寒热
1593,消瘀化症,,久咳气喘,腹中痞积
1594,止血清热,,头昏耳鸣,中风偏废
1595,润肺利咽,,脚气肿满,皮肤消毒
1596,分清利湿,,胸满喘咳,内外痈疡
1597,祛瘀止血,,恶疮痈疽,呕吐清水
1598,安蛔杀虫,,劳伤久咳,肠道积滞
1599,清咽解毒,,食积腹泻,胃酸过多
1600,清热通络,,内伤吐血,疳积虫痛
1601,散风通窍,,心悸气短,心腹暴痛
1602,化积除湿,,头痛身疼,手足麻木
1603,凉血止痒,,口燥烟干,外病虚损
1604,利水解毒,,心慌怔忡,蝮蛇咬伤
1605,补肾填精,,虚劳骨弱,疖毒溃烂
1606,发汗除湿,,噎膈噫气,小便血淋
1607,调经止带,,口渴咽干,中暑伤冷
1608,解毒驱虫,,羞明流泪,胁下痞满
1609,固崩止带,,阴虚低热,四肢不遂
1610,清热渗湿,,劳伤瘀血,牙周脓肿
1611,催乳解毒,,邪热亢盛,小儿风热
1612,祛风散热,,中风口噤,湿温初起
1613,泻火通便,,咽痛口渴,产后血闷
1614,杀虫消积,,肾虚体弱,无名中毒
1615,固涩止带,,咳喘胸闷,腰膝瘦弱
1616,祛腐生肌,,血瘀刺痛,起坐困难
