Unnamed: 0,Unnamed: 0.1,名称,别名,Taste,Type,Function,Effect,摘自,Unnamed: 9
6740,6740,珠兰,真珠兰、鱼子兰、珍珠兰、鸡爪兰、小疙瘩、米兰、大骨兰。,温、甘、辛,肝,活血、止痛、杀虫、祛风定,风湿痹痛、跌打损伤、偏头痛、顽癣,中华本草,missing
6741,6741,珠果黄紫堇,念珠黄堇、念珠紫堇、胡黄堇。,寒、苦、涩,missing,解毒、止痛、消肿、清热,痈疮热疖、无名肿毒、角膜充血,中华本草,missing
6742,6742,珠儿参叶,参叶、参叶子,寒、苦、甘,肺、心、胃,润喉、解暑、生津、清热,热伤津液、烦渴、骨蒸劳热、风火牙痛、咽喉干燥、声音嘶哑,中华本草,missing
6743,6743,珠儿参,珠参、钮子七、扣子七、竹鞭三七、疙瘩七、珠子参、土三七、盘七、野三七、带节参三七,寒、苦、甘,missing,散瘀、止痛、养阴、消肿、止血、清热,热病烦渴、阴虚肺热咳嗽、咳血、吐血、衄血、便血、尿血、崩漏、外伤出血、跌打伤肿、风湿痹痛、胃痛、月经不调、风火牙痛、咽喉肿痛、疮痈肿毒,中华本草,missing
6744,6744,皱叶鼠李,missing,凉、苦,missing,解毒、清热,肿毒、疮疡,中华本草,missing
6745,6745,皱叶南蛇藤,南蛇藤。,凉、苦、辛、毒,missing,通络、透发、麻疹、祛风,小儿麻疹、风湿痹痛、劳伤,中华本草,missing
6746,6746,皱叶狗尾草,烂衣草、马草、扭叶草、风打草,平、淡,missing,解毒、杀虫,疥癣、丹毒、疮疡,中华本草,missing
6747,6747,皱叶变豆菜,missing,平、苦、辛,missing,散瘀、解毒、消肿、清热,感冒、咽痛、口疮、疮肿、月经不调、跌打肿痛,中华本草,missing
6748,6748,皱杓兰,兜兰,平、涩、甘,missing,调经、解毒、活血、止痛、理气、清热,月经不调、痛经、闭经、附件炎、膀胱炎、疝气,中华本草,missing
6749,6749,皱巴坚螺,天螺、圆螺,missing,missing,止血、解毒、敛疮,疮疡不敛、外伤出血,中华本草,missing
6750,6750,砧草,missing,寒、苦,missing,解毒、活血、清热、祛风,肺炎咳嗽、肾炎水肿、腰腿疼痛、妇女经闭、痛经、带下、疮癣,中华本草,missing
6751,6751,真藓,垣衣、屋游、古屋瓦苔、银叶真藓,凉、涩、甘、毒,missing,止血、解毒、清热,细菌性痢疾、黄疸、鼻窦炎、痈疮肿毒、烫火伤、衄血、咳血,中华本草,missing
6752,6752,浙雁皮,白山芝一、地棉皮。,寒、苦、辛、毒,missing,逐水、解毒、散结、消肿,水肿、疮疡肿毒,中华本草,missing
6753,6753,浙江铃子香,铃子三七,温、辛,missing,消积、通经络、散风、散寒,风寒感冒、咳嗽、筋骨酸痛、食积腹胀,中华本草,missing
6754,6754,浙江过路黄,missing,寒、淡,missing,解毒、排石、利湿、清热,尿路结石、湿热黄疸、热毒痈肿、毒蛇咬伤,中华本草,missing
6755,6755,浙地黄,紫花地黄、鲜生地、蜜糖罐、野鲜地黄、天芥菜、秦氏地黄,寒、苦、甘,missing,凉血、养阴、生津、清热,温热病高热烦躁、吐血衄血、口干、咽喉肿痛、中耳炎、烫伤,中华本草,missing
6756,6756,浙贝母,土贝母、浙贝、象贝、象贝母、大贝母,寒、苦,肺、心,散结、降气、化痰、消肿、止咳、清热,风热或痰热咳嗽、肺痈吐脓、瘰疬瘿瘤、疮痈肿毒,中华本草,missing
6757,6757,展花乌头,missing,热、苦、辛、毒,脾、肾,除湿、止痛、祛风,风寒湿痹、关节疼痛,中华本草,missing
6758,6758,窄叶鼠李,茶叶树、黑格兰、家茶,寒、甘,missing,消食、化积、除烦、清热,低热不退、心烦口渴、消化不良、腹泻,中华本草,missing
6759,6759,窄叶飘带草,飘带草、菜子七、金柴胡,平、苦、辛,missing,驱风、散热、解毒,风热感冒、百日咳、肝郁胁痛、风疹、疮毒疖肿,中华本草,missing
6760,6760,窄叶南蛇藤,倒披针叶南蛇藤。,温、苦、辛,missing,除湿、解毒、活血、行气、消肿、祛风,风湿痹痛、跌打损伤、疝气痛、疮疡肿毒、带状疱疹、湿疹,中华本草,missing
6761,6761,窄叶大戟,猫眼草。,寒、苦、毒,肺,拔毒、消肿,疮疖肿毒、瘰疬、痄腮,中华本草,missing
6762,6762,痄腮树,missing,凉、涩、淡、毒,missing,解毒、清热,腮腺炎,中华本草,missing
6763,6763,梓叶,missing,寒、苦,肺、心,解毒、杀虫、止痒、清热,小儿发热、疮疖、疥癣,中华本草,missing
6764,6764,梓实,missing,平、甘,膀胱、肾,利水、消肿,小便不利、浮肿、腹水,中华本草,missing
6765,6765,梓木,雷电子,寒、苦,肺、大肠、肝,催吐、止痛,霍乱不吐不泻、手足痛风,中华本草,missing
6766,6766,梓菌,missing,missing,missing,定惊、止血、止痒、祛风,小儿急慢惊风、咯血、皮肤瘙痒,中华本草,missing
6767,6767,梓白皮,梓皮、梓木白皮、梓树皮、梓根白皮、土杜促,寒、苦,胃、胆,止吐、利湿、杀虫、降逆、止痒、清热,湿热黄疸、胃逆呕吐、疮疥、湿疹、皮肤瘙痒,中华本草,missing
6768,6768,啄木鸟,鴷、斫木、山啄木、火老鸦,平、甘,脾、肝,滋养、止痛、消肿、补虚,肺结核、小儿疳积、痔疮肿痛、龋齿牙痛,中华本草,missing
6769,6769,猪鬃刚,猪鬃草、铁丝草、碎叶猪棕草,凉、苦,missing,解毒、利水、通淋、清热,痢疾、尿路感染、血淋、乳糜尿、睾丸炎、乳腺炎,中华本草,missing
6770,6770,猪鬃凤尾蕨,还阳草、猪毛草、金鸡尾、锯锯草、凤尾蕨、细凤尾草,苦、淡,肺、胃、膀胱,祛痰、利水、止痛、消肿、止咳、和胃,咳嗽痰多、胃脘疼痛、痢疾、水肿、小便不利,中华本草,missing
6771,6771,猪鬃草,石中珠、猪毛漆、铁丝草、猪鬃漆、降龙草、小猪毛七、岩浮萍、猪毛肺筋草、铁线草、鱼鳞草、乌脚芒、猪毛七、岩棕、猪综草、铁线草、铁丝钮、石中珠、猪毛漆、石长生、青丝还阳、碰碰草、铁光棍、铁丝分金、水猪毛七、猪棕七、猪鬃七、黑草、扇叶铁线蕨、肺心草、岩甲、扫把萁、铁骨狼萁,凉、苦、毒,肾、肝,解毒、利水、通淋、清热,感冒发热、肺热咳嗽、湿热泄泻、痢疾、淋浊、带下、乳痈、瘰疬、疔毒、烫伤、毒蛇咬伤,中华本草,missing
6772,6772,猪仔笠,山葛、大力牛、鸡头薯、鸡心薯、鸡头子、凉薯、山芪薯、地草果。,平、甘,肺、大肠、肝,止渴、清肺、化痰、消肿、生津,肺热咳嗽、肺痈、发热烦渴、痢疾、睾丸鞘膜积液，食积不消、跌打肿痛,中华本草,missing
6773,6773,猪胰,missing,平、甘,肺、大肠、脾,通乳、润燥、止痢、止咳、益肺、健脾,肺痿咳嗽、肺胀喘急、咯血、脾虚下痢、乳汁不通、手足皲裂、不孕、糖尿病,中华本草,missing
6774,6774,猪靥,猪气子,温、甘、毒,肺、膀胱、胆、肾,消瘿、散结,气瘿、气瘤,中华本草,missing
6775,6775,猪血,missing,平、咸,心、肝,熄风、养心、补血、镇惊、止血、下气,头风眩晕、癫痫惊风、中满腹胀、奔豚气逆、淋漏下血、宫颈糜烂,中华本草,missing
6776,6776,猪心,missing,平、咸、甘,心,安神、镇惊、养心,惊悸怔忡、自汗失眠、神志恍惚、癫、狂、痫,中华本草,missing
6777,6777,猪蹄甲,猪悬蹄、猪悬蹄甲、猪蹄合子、猪爪甲、猪退,寒、咸,大肠、胃,生肌、解毒、定喘、化痰,咳嗽喘息、肠痈、痔漏、疝气偏坠、白秃疮、冻疮,中华本草,missing
6778,6778,猪蹄,猪四足,平、咸、甘,胃,通乳汁、润肌、补气、托疮毒、润肤、补血,虚伤赢瘦、产后乳少、面皱少华、痈疽疮毒,中华本草,missing
6779,6779,猪髓,missing,寒、甘,肾,生肌、滋阴、益髓,内蒸痨热、遗精带浊、消渴、疮疡,中华本草,missing
6780,6780,猪屎豆,白猪屎豆、野苦豆、大眼兰、野黄豆草，猪屎青、野花生、大马铃、水蓼竹、响铃草,平、苦、辛、毒,missing,解毒散结、清热利湿,湿热腹泻，小便淋沥，小儿疳积，乳腺炎,中华本草,missing
6781,6781,猪肾,猪腰子,平、咸,肾、肝,益阳、利水、补肾,肾虚耳聋、遗精盗汁、腰痛、产后虚赢、身面浮肿,中华本草,missing
6782,6782,猪肉,猪、豕、狶、豚、彘,寒、咸、甘,胃、脾、肾,滋阴、养血、润燥、益气、消肿、补肾,肾虚赢瘦、血燥津枯、燥核、消渴、便秘、虚肿,中华本草,missing
6783,6783,猪脾,联贴、草鞋底、猪横利,平、甘,胃、脾,健脾胃、消积滞,脾胃虚热、脾积痞块,中华本草,missing
6784,6784,猪脬,猪尿胞、猪胞、猪小肚,平、咸、甘,膀胱,除湿、缩尿、止渴,消渴、遗尿、疝气坠痛、阴囊湿疹、阴茎生疮,中华本草,missing
6785,6785,猪脑,missing,寒、甘,心、肾、肝,生肌、疏风、润泽脑髓、补益,头痛、眩晕、失眠、手足皲裂、痈肿、冻疮,中华本草,missing
6786,6786,猪母柴根,missing,凉、苦,missing,解毒、清热,疮疡肿毒,中华本草,missing
6787,6787,猪毛七,missing,平、苦,missing,清利湿热、祛风,湿热黄疸、小便淋痛、风湿热痹,中华本草,missing
6788,6788,猪毛蕨,绿爬山虎、大蕨菜、青竹标、骨碎补、爬岩龙、爬山虎、土元参、指掌蕨、青碎补、青飞龙、石生姜,温、涩、辛、毒,肾、肝,活血、消肿、续骨,无名肿毒、小儿疳积、跌打损伤、骨折、腰腿痛,中华本草,missing
6789,6789,猪毛参,猪鬃草、小猪鬃草,凉、苦,missing,止血、利尿、通淋,热淋、血淋、刀伤出血,中华本草,missing
6790,6790,猪毛菜,扎蓬棵、刺蓬、三叉明棵、猪毛缨、叉明棵、猴子毛、蓬子菜、乍蓬棵子,凉、淡,肝,平肝、润肠、通便、潜阳,高血压病、多病、眩晕、失眠、肠燥便秘,中华本草,missing
6791,6791,猪毛,missing,平、涩,肺、脾、肝,止血、敛疮,崩漏、烧烫伤,中华本草,missing
6792,6792,猪笼草,捕虫草、猴子埕、猪仔笼、担水桶、猴子笼、公仔瓶。,凉、甘、淡,肺、胃、胆,润肺、解毒、消肿、止咳、清热利湿排石,肺燥咳血、感冒咳嗽、百日咳、黄疸、痢疾、尿路结石、亦可用于胃及十二指肠溃疡、高血压病、糖尿病、疮疡痈肿,中华本草,missing
6793,6793,猪苓,豕零、猳猪屎、豕橐、司马彪、豨苓、地乌桃、野猪食、猪屎苓、猪茯苓、野猪粪,平、甘、淡,肺、膀胱、脾、肾,渗湿、利尿,小便不利、水肿胀满、脚气、泄泻、淋浊、带下,中华本草,missing
6794,6794,猪蓼子草,missing,温、辛、毒,心、大肠、胃,散瘀、解毒、活血、止血、清热,疮肿、阴疽、瘰疬、毒蛇咬伤、牙痛、中暑、痢疾、跌打损伤、外伤出血,中华本草,missing
6795,6795,猪獠参,蛇蓼子、大一枝箭、土洋参、鸭肾参、小长距兰,平、甘、毒,肺、肾,固肾、补肺,咳嗽气喘、肾虚腰痛、遗精、头晕、病后体弱,中华本草,missing
6796,6796,猪骨,missing,平、涩,肺、大肠、肾,解毒、昌渴、杀虫、止痢,消褐、肺结核、下痢、疮癣,中华本草,missing
6797,6797,猪肝,missing,温、苦、甘,胃、脾、肝,补气、明目、养肝、健脾,肝虚目昏、夜盲、疳眼、脾胃虚弱、小儿疳积、脚气浮肿、水肿、久痢脱肛、带下、,中华本草,missing
6798,6798,猪肤,猪皮,凉、甘,肾,利咽、养阴、止血、清热,阴客热下痢、咽痛、吐血、血衄、月经不调、崩漏,中华本草,missing
6799,6799,猪肺,missing,平、甘,肺,止咳、止血、补肺,肺虚咳嗽、咯血,中华本草,missing
6800,6800,猪耳掌,missing,missing,missing,散结、软坚,腹中症瘕,中华本草,missing
6801,6801,猪肚木,山石榴、跌掌随、老虎刺,寒、辛、淡,missing,解毒、活血、利尿、清热,痢疾、黄疸、水肿、小便不利、疮毒、跌打肿痛,中华本草,missing
6802,6802,猪肚,missing,温、甘,胃、脾,健脾胃、补虚损,虚劳赢瘦、劳瘵咳嗽、脾虚食少、消渴便数、泄泻、水肿脚气、妇人赤白带下、小儿疳积,中华本草,missing
6803,6803,猪胆,missing,寒、苦,肺、大肠、胆、肝,润燥、解毒、清热,热病燥渴、大便秘结、咳嗽、哮喘、目赤、目翳、泄痢、黄疸、喉痹、聤耳、痈疽疔疮、鼠瘘、湿疹、头癣,中华本草,missing
6804,6804,猪大肠,地花生、翻转红。,温、甘、辛,missing,祛痰、宁心、安神、止咳,咳嗽咯痰不爽、心悸、失眠多梦,中华本草,missing
6805,6805,猪肠,猪脏,寒、甘,小肠,祛风、止血、清热,肠风便血、血痢、痔漏、脱肛,中华本草,missing
6806,6806,章鱼,章举、鱆、望潮、小八梢鱼、络蹄、蛸,平、咸、甘,肾、肝,生肌、养血、解毒、通乳,血虚经行不畅、产后缺乳、疮疡久溃,中华本草,missing
6807,6807,粘人花根,missing,温、苦、涩、毒,肺、大肠,驱虫、润肺止咳,肺结核咳嗽，盗汗，喘咳，产后胎盘滞留，蛔虫病,中华本草,missing
6808,6808,粘人花,饿蚂蝗、黄粘粑草、野豆子、牛巴嘴、山蚂蝗、过路黄、山毛豆花、乌山黄檀草、满鼎糊草、长波状叶山蚂蝗,平、苦、涩、毒,肝,清热泻火、活血祛瘀、敛疮,风热目赤，胞衣不下，血瘀经闭，烧伤,中华本草,missing
6809,6809,粘毛鼠尾草果,missing,missing,missing,补肝、明目、滋肾,产后体虚、乳汁不足、视物昏花,中华本草,missing
6810,6810,粘毛鼠尾草,野芝麻、黄花鼠尾草、吉子嘎保,凉、苦、甘,胃、肝,明目、止痛、清肝,目赤肿痛、翳膜遮睛,中华本草,missing
6811,6811,粘毛黄花稔,磨盘公。,平、甘、辛、香,missing,解毒、活血、消肿、止咳、清热,支气管炎、肝炎、痢疾、乳腺炎、痈疽肿毒,中华本草,missing
6812,6812,蚱蜢,蛗螽、蠜、螽、蟅 蟒、蚮、百蜷、蛨虴、虴蛨、簸蝩,温、甘、辛,肺、脾、肝,平喘、解痉、止咳、祛风,小儿惊风，破伤风、百日咳、哮喘,中华本草,missing
6813,6813,蚱蝉,碉、鸣蜩、蝒、马蜩、蟧、鸣蝉、秋蝉、蜘蟟、炸蟟,寒、咸、甘,肺、肝,熄风、镇惊、清热,小儿发热、惊风抽搐、癫痫、夜啼、偏头痛,中华本草,missing
6814,6814,棕竹根,missing,平、涩、甘,missing,除湿、收敛、止血、祛风,风湿痹痛、鼻衄、咯血、跌打劳伤,中华本草,missing
6815,6815,棕竹,筋头竹、棕树、美三,平、涩、甘,肾、肝,止血、收敛,鼻衄、咯血、吐血、产后出血过多,中华本草,missing
6816,6816,棕叶七,克马七、长青九龙盘,凉、苦、辛,肾、肝,活血、止痛,跌打损伤、腰痛,中华本草,missing
6817,6817,棕叶芦,莽草、棕叶草、扫地草,凉、甘,肺、胆,平喘、止咳、截疟、清热,疟疾、烦渴、腹泻、咳喘,中华本草,missing
6818,6818,棕树心,missing,平、苦、涩,心、脾,安神、收敛、养心、止血,心悸、头昏、崩漏、脱肛、子宫脱垂,中华本草,missing
6819,6819,棕榈子,败棕于、棕树果,平、苦、涩、甘,大肠、脾,固精、涩肠、止血,肠同、崩漏、带下、泻痢、遗精,中华本草,missing
6820,6820,棕榈叶,missing,平、苦、涩,胃、脾,降血压、止血、收敛,吐血、劳伤、高血压病,中华本草,missing
6821,6821,棕榈皮,拼榈木皮、棕毛、棕皮、棕、拼榈、棕衣树、百页草、定海针,平、苦、涩,大肠、脾、肝,止血、收敛,吐血、衄血、便血、血淋、尿血、血崩、外伤出血,中华本草,missing
6822,6822,棕榈花,棕榈木子、棕笋,平、苦、涩,脾、肝,止泻、散结、活血、止血,血崩、带下、肠风、泻痢、瘰疬,中华本草,missing
6823,6823,棕榈根,棕树根,凉、苦、涩,missing,除湿、解毒、收效、消肿、止痢、涩肠、止血,吐血、便血、崩漏、带下、痢疾、淋浊、水肿、关节疼痛、瘰疬、流注、跌打肿痛,中华本草,missing
6824,6824,紫竹根,missing,凉、辛、淡,missing,除湿、解毒、活血、祛风,风湿热痹、筋骨酸痛、经闭、症瘕、狂犬咬伤,中华本草,missing
6825,6825,紫珠,紫荆、紫珠草,凉、苦、涩,missing,解毒、收敛、止血、清热,呕血、咯血、衄血、便血、尿血、牙龈出血、崩漏、皮肤紫癜、外伤出血、痈疽肿毒、毒蛇咬伤、烧伤,中华本草,missing
6826,6826,紫云英子,蒺藜子、草蒺藜,凉、辛,肝,明目、祛风,目赤肿痛,中华本草,missing
6827,6827,紫云菜,紫云英马蓝、刀枪药、铃虫花,寒、苦、咸,missing,止血、定惊、清热,感冒发热、热病惊劂、外伤出血,中华本草,missing
6828,6828,紫芋,水芋、野芋子、东南芋、老虎广菜,寒、辛,missing,解毒、散结、消肿、祛风,乳痈、无名肿毒、荨麻疹、疔疮、口疮、烧烫伤,中华本草,missing
6829,6829,紫玉簪叶,missing,平、甘,missing,凉血、止血、解毒,崩漏、湿热带下、疮肿、溃疡,中华本草,missing
6830,6830,紫玉簪根,红玉簪花头,凉、苦、辛,missing,散瘀、解毒、下骨鲠、止痛、止血、清热,咽喉肿痛、痈肿疮疡、跌打损伤、胃痛、牙痛、吐血、崩漏、骨鲠,中华本草,missing
6831,6831,紫玉簪,紫鹤、鸡骨丹、 红玉簪、石玉簪,平、苦、甘,missing,凉血、止血、解毒,崩漏、湿热带下、咽喉肿痛,中华本草,missing
6832,6832,紫柚木,missing,温、苦、辛,missing,和中、止呕、止痒、祛风,恶心、呕吐、风疹瘙痒,中华本草,missing
6833,6833,紫油木叶,假椿、紫叶。,凉、苦、涩,大肠,祛湿、导滞、清热,痢疾、泄泻、食积、湿疹、风疹,中华本草,missing
6834,6834,紫叶秋海棠,missing,平、苦,missing,解毒、活络、消肿、舒筋,肢体麻痹、脑膜炎后遗症、疮疖肿毒,中华本草,missing
6835,6835,紫燕草,红雪柳、红色大雪柳、雪柳、大雪柳,凉、苦、辛、毒,missing,截疾、止血、接骨,刀伤、骨折、疟疾,中华本草,missing
6836,6836,紫鸭跖草,血见愁、鸭舌草、本山金线连、鸭舌黄,凉、甘、淡,心、肝,解毒、散结、活血、利尿,痈疮肿毒、瘰疬结核、毒蛇咬伤、淋证、跌打损伤,中华本草,missing
6837,6837,紫雪花,谢三娘、红谢三娘、红花丹、银丝矮阳陀、小散血、紫花蕨、红地三娘,温、苦、辛、毒,missing,通经、破血、止痛、消肿、祛风,痛经、闭经、风湿痹痛、跌打扭伤、痈肿疮毒、疥疮湿癣,中华本草,missing
6838,6838,紫啸鸫,鸣鸡、山呜鸡、乌精、箫声鸫、黑雀儿,平、咸、甘,肺、大肠、胃、肝,止血、止咳、解毒,痔疮、吐血、咳嗽、神经衰弱、偏头痛,中华本草,missing
6839,6839,紫薇叶,missing,寒、苦、涩,missing,解毒、利湿、止血、清热,痈疮肿毒、乳痈、痢疾、湿疹、外伤出血,中华本草,missing
6840,6840,紫薇皮,紫荆皮、怕痒树树皮、怕痒树根皮,寒、苦,missing,散瘀、解毒、利湿、清热、止血、祛风,无名肿毒、丹毒、乳痈、咽喉肿痛、肝炎、疥癣、鹤膝风、跌打损伤、内外伤出血、崩漏带下,中华本草,missing
6841,6841,紫薇花,鹭鸶花、五里香、红薇花、百日红、佛相花、满堂红、怕痒花、猴刺脱、紫梢、痒痒花、宝幡花、五爪金龙、狗骨头、紫金标、紫兰花、阿米荼、紫荆花、紫金花、蚊子花。,寒、苦、酸,missing,解毒、凉血、上血、清热,疮疖痈疽、小儿胎毒、疥癣、血崩、带下、肺痨咳血、小儿惊风,中华本草,missing
6842,6842,紫薇根,missing,寒、苦,missing,活血、利湿、止痛、止血、清热,痢疾、水肿、烧烫伤、湿疹、湿疹、痈肿疮毒、跌打损伤、血崩、偏头痛、牙痛、痛经、产后腹痛,中华本草,missing
6843,6843,紫葳茎叶,凌霄藤、争墙风、飞天蜈蚣、九重藤、大木通、木枫藤、碎骨风、搜骨同,平、苦,missing,凉血、散瘀、清热,血热生风、身痒、风疹、手脚酸软麻木、咽喉肿痛,中华本草,missing
6844,6844,紫葳根,凌霄花根,寒、甘、辛,脾、肾、肝,通络、凉血、活血、祛风,血热生风、身痒、风疹、腰脚不遂、痛风、风湿痹痛、跌打损伤,中华本草,missing
6845,6845,紫菀,青菀、紫葥、返魂草根、夜牵牛、紫菀茸、关公须,温、苦、辛,肺,润肺、化痰、止咳、下气,咳嗽、肺虚劳嗽、肺痿肺痈、咳吐脓血、小便不利,中华本草,missing
6846,6846,紫铜矿,missing,寒、咸,肺、心,接骨、续筋,骨折筋伤,中华本草,missing
6847,6847,紫藤子,紫藤豆、藤花子、紫金藤子、土木鳖、藤萝子。,温、甘、毒,大肠、胃、肝,驱虫、解毒、通络、活血,筋骨疼痛、腹痛吐泻、小儿蛲虫病,中华本草,missing
6848,6848,紫藤根,missing,温、甘,心、肾、肝,除湿、活络、舒筋、祛风,痛风、痹症,中华本草,missing
6849,6849,紫藤,招豆藤、朱藤、藤花菜、小黄藤、紫金藤、轿藤、黄环、藤萝、黄纤藤、小黄草。,温、苦、甘、毒,肾,利水、杀虫、除痹,水YIN病、浮肿、关节疼痛、肠寄生虫病,中华本草,missing
6850,6850,紫檀,紫 Z H A N木、紫真檀、赤檀、胜沉香、紫檀香。,平、咸,肝,和营、定痛、祛瘀、解毒、消肿、止血,头痛、心腹痛、恶露不尽、小便淋痛、风毒痈肿、金疮出血,中华本草,missing
6851,6851,紫苏子,苏子，黑苏子，铁苏子，任子,温、辛,肺、大肠,平喘、润肠、降气、消痰,痰壅气逆、咳嗽气喘、肠燥便秘,中华本草,missing
6852,6852,紫苏叶,苏、苏叶、紫菜,温、辛,肺、胃、脾,和中、角鱼蟹毒、解表、安胎、行气、化痰、宣肺、散寒,风寒表证、咳嗽痰多、脆胀满、恶心呕吐、腹痛吐泻、胎气不和、妊娠恶阴、食鱼蟹中毒,中华本草,missing
6853,6853,紫苏梗,紫苏茎，苏梗，紫苏枝茎，苏茎，紫苏杆，紫苏草,温、辛,肺、胃、脾,宽中、安胎、和血、理气,脾胃气滞、脘腹痞满，胎气不和，水肿脚气，咯血吐衄,中华本草,missing
6854,6854,紫苏苞,missing,平、辛,肺,解表,血虚感冒,中华本草,missing
6855,6855,紫石英,missing,温、甘、辛、毒,肺、心、肾、肝,降逆气、安神、暖子宫、镇心,心悸、怔忡、惊痫、肺寒咳逆上气、女子宫寒不孕,中华本草,missing
6856,6856,紫梢花,紫霄花、花子,温、甘,肾,固精、缩尿、助阳、补肾,阳痿、遗精、白浊、虚寒带下、小便不禁、阴囊湿痒,中华本草,missing
6857,6857,紫杉,missing,平、淡,肾,消肿、利尿,肾炎浮肿、小便不利、糖尿病,中华本草,missing
6858,6858,紫色翼萼,香椒草、金笨计、马铃草、软骨田方草、方形草,凉、苦,missing,消食、化积、解暑、清肝,小儿疳积、中暑呕吐、腹泻、目赤肿痛,中华本草,missing
6859,6859,紫青藤,青藤、画眉杠、铁骨散、常青藤、山黄芪、小叶青、画眉跳杠、铁包金、大叶铁包金。,温、涩,missing,除湿、消疳、活血、止痛、健脾、祛风,风湿痹痛、产后腹痛、痛经、经闭、外伤肿痛、小儿疳积、毒蛇咬伤,中华本草,missing
6860,6860,紫萁苗,missing,寒、苦,missing,止血,外伤出血,中华本草,missing
6861,6861,紫萁贯众,藄、月尔、紫藄、藄蕨、茈萁、紫蕨、迷蕨、蕨基、大贯众、毛老鼠、毛狗子、贯众,寒、苦、毒,胃、脾,祛瘀、解毒、杀虫、止血、清热,流感、流脑、乙脑、腮腺炎、痈疮肿毒、麻疹、水痘、痢疾、吐血、衄血、便血、崩漏、带下、蛲虫、绦虫、钩虫等肠道寄生虫病,中华本草,missing
6862,6862,紫硇砂,碱硇砂、藏脑、脑砂、红盐、红硇砂、藏硇砂、咸硇砂、藏红盐,温、苦、咸、辛、毒,肺、胃,蚀腐、消积、软坚、破瘀,症瘕积聚、噎膈反胃、鼻生息肉、喉痹目翳、痈肿瘰疬、恶疮赘疣,中华本草,missing
6863,6863,紫楠叶,missing,温、辛,missing,散瘀、祛湿、暖胃、顺气,气滞脘腹胀痛、脚气浮肿、转筋,中华本草,missing
6864,6864,紫楠根,missing,温、辛,肝,祛瘀、催产、活血、行气、消肿,跌打损伤、水肿腹胀、孕妇过月不产,中华本草,missing
6865,6865,紫木通,金丝木通、滑叶木通、大见血飞,温、苦、辛,missing,解表、活络、利尿、通淋、舒筋、祛风,风湿性关节炎、腰腿疼痛、淋证、并治风寒感冒,中华本草,missing
6866,6866,紫茉莉子,白粉果、土山柰,寒、甘,missing,解毒、利湿、化斑、清热,生斑痣、脓疱疮,中华本草,missing
6867,6867,紫茉莉叶,missing,寒、甘、淡,missing,解毒、渗湿、活血、清热、祛风,痈肿疮毒、疥癣、跌打损伤,中华本草,missing
6868,6868,紫茉莉根,白花参、粉果根、入地老鼠、花粉头、水粉头、粉子头、胭脂花头、白粉根、白粉角,寒、甘、淡,missing,解毒、活血、利湿、清热,热淋、白浊、水肿、赤白带下、关节肿痛、痈疮肿毒、乳痈、跌打损伤,中华本草,missing
6869,6869,紫麻,小麻叶、水麻叶、柴苎麻、白水苎麻、大毛叶、火麻条、小青麻、水麻泡、野麻、假山麻、雪果,凉、甘,missing,解毒、透疹、行气、活血、清热,感冒发热、跌打损伤、牙痛、麻疹不透、肿疡,中华本草,missing
6870,6870,紫晶蘑,missing,平、甘,脾,祛湿、健脾,预防脚气病,中华本草,missing
6871,6871,紫荆桠,missing,平、苦、涩,missing,除湿、解毒、祛风,风湿痹痛、痈疽肿毒,中华本草,missing
6872,6872,紫荆皮,肉红、内消、紫荆木皮、白林皮。,平、苦,脾、肝,活血、解毒、通淋,妇女月经不调，瘀滞腹痛，风湿痹痛，小便淋痛，喉痹，痈肿，疥癣，跌打损伤，蛇虫咬伤,中华本草,missing
6873,6873,紫荆木,missing,平、苦、毒,肾、肝,活血、通淋,妇女月经不调，瘀滞腹痛，小便淋沥涩痛,中华本草,missing
6874,6874,紫荆花,missing,平、苦,小肠、脾、肝,清热凉血、通淋解毒,热淋，血淋，疮疡，风湿筋骨痛,中华本草,missing
6875,6875,紫荆果,missing,平、苦、甘,肺、心,止咳平喘、行气止痛,咳嗽多痰，哮喘，心口痛,中华本草,missing
6876,6876,紫茎牙痛草,草连翘、疳积药、翼茎草、松毛杆、牙痛草、鱼邦草,凉、苦,missing,止痛、利湿、消肿、清热,急、慢性肝炎、胃肠炎、口腔炎、咽喉肿痛、牙痛,中华本草,missing
6877,6877,紫茎,帽兰,凉、苦、辛,肝,除湿、活血、舒筋、祛风,跌打损伤、风湿麻木,中华本草,missing
6878,6878,紫堇,野花生、断肠草、蝎子花、麦黄草、闷头花、山黄连、水黄连、羊不吃。,凉、苦、涩、毒,肺、脾、肾,解毒、杀虫、止痒、清热,疮疡肿毒、聤耳流脓、咽喉疼痛、顽癣、秃疮、毒蛇咬伤,中华本草,missing
6879,6879,紫金血藤,血藤、黄皮血藤、气藤、香血藤,温、涩、辛,脾、肝,除湿、行气、活血、止痛、止血、祛风,风湿痹痛、心胃气痛、痨伤吐血、闭经、月经不调、跌打损伤、金疮肿毒,中华本草,missing
6880,6880,紫金龙,串枝莲、黑牛膝、川山七、豌豆跌打、大麻药、豌豆七、野豌豆。,凉、苦、辛、毒,胃、肾、肝,镇痛、降血压、止血,神经性头痛、牙痛、胃痛、风湿关节痛等各种痛证、跌打损伤、外伤出血、产后出血不止、崩漏下血及高血压病,中华本草,missing
